ReferenceOrder,OperationID,Phase,Category,OperationType,Bank,Register,Value,Mask,Condition,DelayMs,SemanticPurpose,Authority,SourceFunction,SourceLine,NVP6134CCompatibility
1,REF-001,COMMON,FORMATTER_OR_FRONTEND_ESSENTIAL,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,common channel/front-end preparation,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_common_value,2070,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
136,REF-136,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x1B,0x08,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3506,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
137,REF-137,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x20,0x90,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3507,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
138,REF-138,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x24,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3508,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
139,REF-139,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x25,0xDC,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3509,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
140,REF-140,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x26,0xF0,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3510,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
141,REF-141,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x29,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3511,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
142,REF-142,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x2A,0x52,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3512,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
143,REF-143,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x58,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3513,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
144,REF-144,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x5F,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3515,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
145,REF-145,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x75,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3516,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
146,REF-146,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x84,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3517,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
147,REF-147,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x86,0x20,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3518,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
148,REF-148,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x90,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3519,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
149,REF-149,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0x9B,0x80,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3520,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
150,REF-150,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0xB5,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3521,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
151,REF-151,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0xB7,0xFF,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3522,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
152,REF-152,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0xB8,0x38,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3523,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
153,REF-153,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0xBB,0x04,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3524,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
154,REF-154,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x05,0xD1,0x20,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3525,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
155,REF-155,AHD1080P25,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3528,PROVEN_REGISTER_VALUE
156,REF-156,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x50,0xAB,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3529,PROVEN_REGISTER_VALUE
157,REF-157,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x51,0x7D,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3530,PROVEN_REGISTER_VALUE
158,REF-158,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x52,0xC3,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3531,PROVEN_REGISTER_VALUE
159,REF-159,AHD1080P25,VIDEO_MODE_ESSENTIAL,WRITE,0x09,0x53,0x52,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,AHD 1080p25 target mode,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_setchn_ahd_1080p2530,3532,PROVEN_REGISTER_VALUE
160,REF-160,STATE,SOFTWARE_ONLY_STATE,STATE_ASSIGN,0x09,ch_mode_status[CH_LOCAL],NVP6134_VI_1080P_2530,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,reference software bookkeeping,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_chnmode,1159,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
161,REF-161,STATE,SOFTWARE_ONLY_STATE,STATE_ASSIGN,0x09,ch_vfmt_status[CH_LOCAL],0x01,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,reference software bookkeeping,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_chnmode,1160,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
162,REF-162,ACP_COMMON,ACP_COAX_OPTIONAL,BANK_SELECT,0x09,0xFF,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,452,PROVEN_REGISTER_VALUE
163,REF-163,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x01,0xA8,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,453,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
164,REF-164,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x01,0xBC,0x07,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,454,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
165,REF-165,ACP_COMMON,ACP_COAX_OPTIONAL,BANK_SELECT,0x01,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,456,PROVEN_REGISTER_VALUE
166,REF-166,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x05,0x2F,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,457,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
167,REF-167,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x05,0x30,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,458,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
168,REF-168,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x05,0x31,0x43,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,459,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
169,REF-169,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x05,0x32,0xA2,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,460,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
170,REF-170,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x05,0x7C,0x11,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,461,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
171,REF-171,ACP_COMMON,ACP_COAX_OPTIONAL,WRITE,0x05,0x7D,0x80,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control protocol common,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,462,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
172,REF-172,ACP_BAUD,ACP_COAX_OPTIONAL,BANK_SELECT,0x05,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,233,PROVEN_REGISTER_VALUE
173,REF-173,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x05,0x7C,0x11,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,234,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
174,REF-174,ACP_BAUD,ACP_COAX_OPTIONAL,BANK_SELECT,0x05,0xFF,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,235,PROVEN_REGISTER_VALUE
175,REF-175,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x00,0x27,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,236,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
176,REF-176,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x03,0x0E,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,237,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
177,REF-177,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x0D,0xB4,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,238,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
178,REF-178,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x0E,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,239,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
179,REF-179,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x05,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,240,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
180,REF-180,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x0A,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,241,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
181,REF-181,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x0B,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,242,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
182,REF-182,ACP_BAUD,ACP_COAX_OPTIONAL,WRITE,0x03,0x2F,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control timing,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_set_baudrate,243,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
183,REF-183,ACP_RX,ACP_COAX_OPTIONAL,BANK_SELECT,0x03,0xFF,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,468,PROVEN_REGISTER_VALUE
184,REF-184,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x60,0x55,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,470,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
185,REF-185,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x0B,0x10,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,472,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
186,REF-186,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x66,0x80,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,481,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
187,REF-187,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x62,0x06,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,491,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
188,REF-188,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x68,0x70,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,492,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
189,REF-189,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x63,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,537,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
190,REF-190,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x64,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,538,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
191,REF-191,ACP_RX,ACP_COAX_OPTIONAL,WRITE,0x03,0x67,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control receiver,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_each_setting,539,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
192,REF-192,ACP_RX_CLEAR,ACP_COAX_OPTIONAL,BANK_SELECT,0x03,0xFF,0x03,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control reset/clear,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_reg_rx_clear,121,PROVEN_REGISTER_VALUE
193,REF-193,ACP_RX_CLEAR,ACP_COAX_OPTIONAL,WRITE,0x03,0x3A,0x01,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control reset/clear,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_reg_rx_clear,122,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
194,REF-194,ACP_RX_CLEAR,ACP_COAX_OPTIONAL,DELAY,0x03,N/A,N/A,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,10,coax camera-control reset/clear,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_reg_rx_clear,123,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
195,REF-195,ACP_RX_CLEAR,ACP_COAX_OPTIONAL,WRITE,0x03,0x3A,0x00,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,coax camera-control reset/clear,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_reg_rx_clear,124,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
196,REF-196,ACP_RX_CLEAR,ACP_COAX_OPTIONAL,DELAY,0x03,N/A,N/A,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,200,coax camera-control reset/clear,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,acp_reg_rx_clear,125,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
197,REF-197,EQ_INIT,INITIAL_EQ_ESSENTIAL,BANK_SELECT,0x03,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,81,PROVEN_REGISTER_VALUE
198,REF-198,EQ_INIT,INITIAL_EQ_ESSENTIAL,WRITE,0x05,0x59,0x11,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,82,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
199,REF-199,EQ_INIT,INITIAL_EQ_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x05,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,132,PROVEN_REGISTER_VALUE
200,REF-200,EQ_INIT,INITIAL_EQ_ESSENTIAL,WRITE,0x05,0xC0,0x17,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,133,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
201,REF-201,EQ_INIT,INITIAL_EQ_ESSENTIAL,WRITE,0x05,0xC1,0x13,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,134,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
202,REF-202,EQ_INIT,INITIAL_EQ_ESSENTIAL,WRITE,0x05,0xC8,0x04,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,135,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
203,REF-203,EQ_INIT,INITIAL_EQ_ESSENTIAL,BANK_SELECT,0x05,0xFF,0x0A,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,137,PROVEN_REGISTER_VALUE
204,REF-204,EQ_INIT,INITIAL_EQ_ESSENTIAL,WRITE,0x0A,0x74,0x02,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,138,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
205,REF-205,EQ_INIT,INITIAL_EQ_ESSENTIAL,STATE_ASSIGN,0x0A,s_eq.ch_stage[CH_LOCAL],0x00,N/A,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,minimum reference initial-EQ function,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,eq_init_each_format,84,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED
206,REF-206,POST_MODE,VIDEO_MODE_ESSENTIAL,BANK_SELECT,0x0A,0xFF,0x09,0xFF,CH1; PAL selector convention; NVP6134_VI_1080P_2530,0,post-mode re-arm and CH1 enable,PINNED_REFERENCE_SEMANTICS_081ebbff9a2722d47acf16c680594be43cb179e2,nvp6134_set_chnmode,1171,PROVEN_REGISTER_VALUE
