GlobalSequenceNumber,ConfigurationLayer,SourceFile,SourceLine,SourceSymbol,Channel,LogicalChannelIndex,ExpectedPrivateBank,SelectedBankBefore,BankSelectWrite,RegisterAddress,Operation,WriteData,WriteMask,ReadModifyWrite,KnownInitialBits,SymbolicUnknownBits,ComputedFinalValue,DelayBefore,DelayAfter,Condition,Reason,AuthorityReference
394,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,757,SESSION_3_CH3,CH3,2,0x07,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,read route before RMW,g2b_nvp_video_diag.sv:757
395,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,758,SESSION_3_CH3,CH3,2,0x07,0x01,NO,0xC2,WRITE,0x02,0x0F,YES,upper nibble retained from preceding C2 read,C2[7:4] source-preserved; runtime ledger resolves to 0x0,(C2_PRE[7:4]<<4)|0x2; observed 0x02,0,0,ALWAYS,select channel while preserving unrelated upper nibble,g2b_nvp_video_diag.sv:758
396,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,785,SESSION_3_CH3,CH3,2,0x07,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,route readback,g2b_nvp_video_diag.sv:785
397,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,787,SESSION_3_CH3,CH3,2,0x07,0x01,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,return to Bank0,g2b_nvp_video_diag.sv:787
398,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: NOVID,g2b_nvp_video_diag.sv:846
399,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: AGC lock,g2b_nvp_video_diag.sv:847
400,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
401,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: H lock,g2b_nvp_video_diag.sv:849
402,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: CH3 status,g2b_nvp_video_diag.sv:850
403,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: NOVID,g2b_nvp_video_diag.sv:846
404,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: AGC lock,g2b_nvp_video_diag.sv:847
405,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
406,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: H lock,g2b_nvp_video_diag.sv:849
407,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: CH3 status,g2b_nvp_video_diag.sv:850
408,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: NOVID,g2b_nvp_video_diag.sv:846
409,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: AGC lock,g2b_nvp_video_diag.sv:847
410,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
411,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: H lock,g2b_nvp_video_diag.sv:849
412,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: CH3 status,g2b_nvp_video_diag.sv:850
413,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: NOVID,g2b_nvp_video_diag.sv:846
414,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: AGC lock,g2b_nvp_video_diag.sv:847
415,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
416,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: H lock,g2b_nvp_video_diag.sv:849
417,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: CH3 status,g2b_nvp_video_diag.sv:850
418,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: NOVID,g2b_nvp_video_diag.sv:846
419,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: AGC lock,g2b_nvp_video_diag.sv:847
420,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
421,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: H lock,g2b_nvp_video_diag.sv:849
422,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_3_CH3,CH3,2,0x07,0x00,NO,0xEA,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: CH3 status,g2b_nvp_video_diag.sv:850
423,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,756,SESSION_4_CH4,CH4,3,0x08,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select Bank1,g2b_nvp_video_diag.sv:756
424,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,757,SESSION_4_CH4,CH4,3,0x08,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,read route before RMW,g2b_nvp_video_diag.sv:757
425,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,758,SESSION_4_CH4,CH4,3,0x08,0x01,NO,0xC2,WRITE,0x03,0x0F,YES,upper nibble retained from preceding C2 read,C2[7:4] source-preserved; runtime ledger resolves to 0x0,(C2_PRE[7:4]<<4)|0x3; observed 0x03,0,0,ALWAYS,select channel while preserving unrelated upper nibble,g2b_nvp_video_diag.sv:758
426,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,785,SESSION_4_CH4,CH4,3,0x08,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,route readback,g2b_nvp_video_diag.sv:785
427,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,787,SESSION_4_CH4,CH4,3,0x08,0x01,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,return to Bank0,g2b_nvp_video_diag.sv:787
428,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: NOVID,g2b_nvp_video_diag.sv:846
429,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: AGC lock,g2b_nvp_video_diag.sv:847
430,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
431,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: H lock,g2b_nvp_video_diag.sv:849
432,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: CH4 status,g2b_nvp_video_diag.sv:850
433,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: NOVID,g2b_nvp_video_diag.sv:846
434,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: AGC lock,g2b_nvp_video_diag.sv:847
435,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
436,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: H lock,g2b_nvp_video_diag.sv:849
437,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: CH4 status,g2b_nvp_video_diag.sv:850
438,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: NOVID,g2b_nvp_video_diag.sv:846
439,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: AGC lock,g2b_nvp_video_diag.sv:847
440,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
441,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: H lock,g2b_nvp_video_diag.sv:849
442,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: CH4 status,g2b_nvp_video_diag.sv:850
443,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: NOVID,g2b_nvp_video_diag.sv:846
444,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: AGC lock,g2b_nvp_video_diag.sv:847
445,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
446,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: H lock,g2b_nvp_video_diag.sv:849
447,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: CH4 status,g2b_nvp_video_diag.sv:850
448,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: NOVID,g2b_nvp_video_diag.sv:846
449,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: AGC lock,g2b_nvp_video_diag.sv:847
450,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
451,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: H lock,g2b_nvp_video_diag.sv:849
452,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_4_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: CH4 status,g2b_nvp_video_diag.sv:850
453,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,696,ROUND_2_BGDCOL,GLOBAL,N/A,N/A,0x00,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,select Bank0,g2b_nvp_video_diag.sv:696
454,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,697,ROUND_2_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x78,WRITE,0x61,0xFF,NO,N/A,NONE,0x61,0,0,ALWAYS,write Latin-square colors CH1/CH2,g2b_nvp_video_diag.sv:697
455,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,699,ROUND_2_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x79,WRITE,0x34,0xFF,NO,N/A,NONE,0x34,0,0,ALWAYS,write Latin-square colors CH3/CH4,g2b_nvp_video_diag.sv:699
456,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,722,ROUND_2_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x78,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify BGDCOL 0x78,g2b_nvp_video_diag.sv:722
457,L5_ROUND_BGDCOL,rtl/g2b/g2b_nvp_video_diag.sv,724,ROUND_2_BGDCOL,GLOBAL,N/A,N/A,0x00,NO,0x79,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,verify BGDCOL 0x79,g2b_nvp_video_diag.sv:724
458,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,756,SESSION_5_CH4,CH4,3,0x08,0x00,YES,0xFF,WRITE,0x01,0xFF,NO,N/A,NONE,0x01,0,0,ALWAYS,select Bank1,g2b_nvp_video_diag.sv:756
459,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,757,SESSION_5_CH4,CH4,3,0x08,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,read route before RMW,g2b_nvp_video_diag.sv:757
460,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,758,SESSION_5_CH4,CH4,3,0x08,0x01,NO,0xC2,WRITE,0x03,0x0F,YES,upper nibble retained from preceding C2 read,C2[7:4] source-preserved; runtime ledger resolves to 0x0,(C2_PRE[7:4]<<4)|0x3; observed 0x03,0,0,ALWAYS,select channel while preserving unrelated upper nibble,g2b_nvp_video_diag.sv:758
461,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,785,SESSION_5_CH4,CH4,3,0x08,0x01,NO,0xC2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,route readback,g2b_nvp_video_diag.sv:785
462,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,787,SESSION_5_CH4,CH4,3,0x08,0x01,YES,0xFF,WRITE,0x00,0xFF,NO,N/A,NONE,0x00,0,0,ALWAYS,return to Bank0,g2b_nvp_video_diag.sv:787
463,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: NOVID,g2b_nvp_video_diag.sv:846
464,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: AGC lock,g2b_nvp_video_diag.sv:847
465,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
466,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: H lock,g2b_nvp_video_diag.sv:849
467,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 1/5: CH4 status,g2b_nvp_video_diag.sv:850
468,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: NOVID,g2b_nvp_video_diag.sv:846
469,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: AGC lock,g2b_nvp_video_diag.sv:847
470,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
471,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: H lock,g2b_nvp_video_diag.sv:849
472,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 2/5: CH4 status,g2b_nvp_video_diag.sv:850
473,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: NOVID,g2b_nvp_video_diag.sv:846
474,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: AGC lock,g2b_nvp_video_diag.sv:847
475,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
476,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: H lock,g2b_nvp_video_diag.sv:849
477,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 3/5: CH4 status,g2b_nvp_video_diag.sv:850
478,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: NOVID,g2b_nvp_video_diag.sv:846
479,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,847,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE0,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: AGC lock,g2b_nvp_video_diag.sv:847
480,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,848,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE1,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: comparator/clamp lock,g2b_nvp_video_diag.sv:848
481,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,849,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xE2,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: H lock,g2b_nvp_video_diag.sv:849
482,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,850,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xEB,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 4/5: CH4 status,g2b_nvp_video_diag.sv:850
483,L6_SESSION_ROUTE_STATUS,rtl/g2b/g2b_nvp_video_diag.sv,846,SESSION_5_CH4,CH4,3,0x08,0x00,NO,0xA8,READ,N/A,N/A,NO,N/A,NONE,READBACK,0,0,ALWAYS,stable sample 5/5: NOVID,g2b_nvp_video_diag.sv:846
