RegisterIndex,Bank,Register,TouchCount,FirstOperationIndex,LastOperationIndex,OperationIndices,SourceSemanticFunctions,OperationTypes,RecoveryClass,RecoveryAction,SafeReadAuthority,ReadSideEffectAuthority,ProductReconstructionAuthority,EvidenceAuthority,Confidence,UnresolvedReason
91,0x09,0x98,1,133,133,133,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
92,0x09,0x99,1,134,134,134,nvp6134_setchn_ahd_1080p2530,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
93,0x0A,0x60,1,34,34,34,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
94,0x0A,0x61,1,35,35,35,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
95,0x0A,0x62,1,36,36,36,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
96,0x0A,0x63,1,37,37,37,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
97,0x0A,0x64,1,38,38,38,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
98,0x0A,0x65,1,39,39,39,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
99,0x0A,0x66,1,40,40,40,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
100,0x0A,0x67,1,41,41,41,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
101,0x0A,0x68,1,42,42,42,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
102,0x0A,0x69,1,43,43,43,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
103,0x0A,0x6A,1,44,44,44,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
104,0x0A,0x6B,1,45,45,45,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
105,0x0A,0x6C,1,46,46,46,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
106,0x0A,0x6D,1,47,47,47,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
107,0x0A,0x6E,1,48,48,48,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
108,0x0A,0x6F,1,49,49,49,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
109,0x0A,0x70,1,50,50,50,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
110,0x0A,0x71,1,51,51,51,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
111,0x0A,0x72,1,52,52,52,nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
112,0x0A,0x74,2,24,169,24;169,eq_init_each_format;nvp6134_set_common_value,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
113,0x11,0x00,1,109,109,109,nvp6134_setchn_common_fhd,WRITE_FULL,PROHIBITED_UNRESOLVED,DO_NOT_EXECUTE; IF_TOUCHED_END_IN_FATAL_RECOVERY_FAILURE,NOT_PROVEN_FOR_BASELINE_RESTORE,NO_COMPLETE_AUTHORITY,GAP_CALLABLE_REINIT_AND_FULL_BASELINE_VERIFY_ABSENT,SCAN0_REFERENCE_SEMANTICS_ONLY,LOW_FOR_RECOVERY,NO_SCANNER_SAFE_READ_ENTRY_AND_NO_CALLABLE_VERIFIED_PRODUCT_BASELINE_RECONSTRUCTION
